Timestamp,Traffic_Volume,Traffic_Speed,Traffic_Density,Time_of_Day,Day_of_Week,Weather_Conditions,Road_Segment_ID,Road_Length,Number_of_Lanes,Intersection_Info,Traffic_Signals,Proximity_to_POI,Adjacency_Matrix,Node_Features,Edge_Weights,Previous_Time_Steps,Incidents_or_Events,Population_Density,Public_Transport_Data,Real_Time_GPS_Data,Travel_Time,Congestion_Level,Delay_Reduction,Optimal_Routing_Decisions,Emission_Levels,Traffic_Incidents,Peak_Hour_Prediction,Signal_Phase_Duration,Queue_Length_Reduction
2018-01-01 00:00:00,910,52.332534002435615,30,0,0,Clear,79,8.545499788166303,2,0,4,4.609679559585798,0,0.6567969616447323,1.2031657523746666,140,None,725,5.8385216075609625,0.1999386381436895,9.79735072479752,High,13.26725648243858,RouteA,1.0515032075156114,No Incident,Morning Peak,30,25.63862924365243
2018-01-01 01:00:00,3822,74.01654792613962,30,1,0,Clear,6,6.867492546995855,4,1,1,2.2294272395513266,1,0.8788210243967185,1.4223706816378738,142,None,1822,4.675742937375502,0.20493200180147375,9.566917094185907,Low,21.893758105040472,RouteC,0.5626410380739243,No Incident,Morning Peak,166,49.877135884039205
2018-01-01 02:00:00,3142,47.19433647910038,30,2,0,Clear,305,7.7920690615386325,5,0,9,4.0595126678608855,1,0.9747312502348053,1.9152477368290985,111,None,2905,7.837050062188455,0.6010486427599331,13.906151297371357,Medium,28.137825291564088,RouteA,0.22985729991977352,No Incident,Evening Peak,35,7.15926146405928
2018-01-01 03:00:00,516,57.084061177368504,70,3,0,Clear,19,6.655004955571298,3,0,0,1.1211437945828373,0,0.9057555204932742,0.49209651181927694,239,None,1663,2.2309755962503686,0.4746483935988004,7.994829980012027,Low,19.300044419413815,RouteB,0.8637668000394472,No Incident,Off-Peak,50,17.048652773299416
2018-01-01 04:00:00,4476,54.16804198989967,30,4,0,Clear,358,7.284539613680982,4,0,6,0.05429455243068593,0,0.8482685324707032,1.1545880017200314,126,Minor Accident,981,5.066690159899774,0.34618614893376953,12.068674666654713,High,28.498699796996267,RouteB,1.365622105127827,No Incident,Off-Peak,163,4.832026413800882
2018-01-01 05:00:00,3494,48.78228130870919,70,5,0,Rain,104,0.5578966005805303,2,0,7,2.3618165622360254,1,0.8728113940909018,1.941694703252749,132,None,358,2.0258562632365553,0.8558931070022167,4.6861735237325215,Low,4.048635948708351,RouteB,0.7589434822379454,No Incident,Evening Peak,113,49.5635042980054
2018-01-01 06:00:00,3221,62.878614086033465,30,6,0,Rain,198,7.848323460416302,1,0,6,3.3282137483815215,0,0.9419865657872618,0.8358116881537502,57,Minor Accident,424,4.732313163632367,0.7822111988964657,9.488904225472531,Medium,1.5484420559191658,RouteC,0.9853893916481865,No Incident,Afternoon Peak,93,18.140824691940278
2018-01-01 07:00:00,2969,61.222892984523,70,7,0,Clear,463,3.335994992139006,2,0,3,3.8462567573141264,1,0.18280602176440375,1.3068809212580437,148,Major Accident,200,2.572286915016435,0.33482813885865936,6.269306961237167,Medium,16.046369716097555,RouteA,1.1293947111080656,Minor,Morning Peak,42,40.88828571140615
2018-01-01 08:00:00,180,54.37698095966056,20,8,0,Clear,28,7.2381883127012445,5,0,7,0.7683885652491895,1,0.002293392220804713,0.11704306011636575,282,None,1312,8.205459817920286,0.6150538158919665,11.986528574575928,Medium,28.03736745445852,RouteB,1.0324216989052977,No Incident,Evening Peak,67,20.925869525797548
2018-01-01 09:00:00,1735,22.13223025762934,100,9,0,Rain,33,7.095407151043739,2,0,3,3.9705065487248863,0,0.002766024488049079,0.6670253484905658,102,None,1646,1.4943081509311984,0.24424327955000413,23.234627033976516,Low,12.663414777456378,RouteB,1.2606548443855554,No Incident,Afternoon Peak,169,9.404919704449311
2018-01-01 10:00:00,819,33.28670089291538,70,10,0,Fog,414,3.4850381712231386,5,0,5,3.0441698516014166,1,0.20603181116805047,1.1581836648152612,144,None,2542,8.68860375690377,0.4780157806248163,7.281668143620324,Low,22.241907499225718,RouteB,0.8909473397484083,No Incident,Morning Peak,72,37.375544306595096
2018-01-01 11:00:00,2441,37.022317762265004,50,11,0,Clear,129,6.148058398087248,1,1,2,3.7656990910122308,1,0.8555805487949522,1.9890448256661262,90,None,1277,5.166716340795855,0.4651822068880299,11.963545305526596,High,4.963511053998113,RouteB,0.8978949360968022,Minor,Afternoon Peak,32,31.81925143194998
2018-01-01 12:00:00,2483,54.45627156486569,70,12,0,Rain,256,7.932583087386969,2,0,2,1.7229806823648723,0,0.7584579956704648,0.5032215097723489,278,None,2229,8.011716658051649,0.17298104558847172,11.739971202492104,Medium,11.998869083027925,RouteB,0.40288372969563746,No Incident,Off-Peak,79,12.566329852784264
2018-01-01 13:00:00,1234,50.321970029000965,50,13,0,Snow,194,6.315448738507021,1,1,0,1.893390647287947,0,0.4970190640386485,0.3697135373562246,59,None,420,9.712359212980887,0.20497943515157724,7.529899846770707,Medium,8.954583752863268,RouteB,1.0069693107049948,Minor,Afternoon Peak,126,42.16493090626111
